,obj,cat_en_malt,cat_ch_malt,cat_en_ours1,cat_en_ours2,cat_ch_ours
0,1,container,he2,container,container,he2
1,2,container,he2,canister,canister,ping2
2,3,bottle,ping2,bottle,bottle,ping2
3,4,bottle,ping2,bottle,bottle,ping2
4,5,bottle,ping2,bottle,bottle,ping2
5,6,container,ping2,container,container,ping2
6,7,jar,ping2,jar,jar,ping2
7,8,bottle,ping2,bottle,bottle,ping2
8,9,container,ping2,bottle,bottle,ping2
9,10,jar,ping2,bottle,jar,ping2
10,11,jar,ping2,jar,jar,ping2
11,12,jar,ping2,jar,jar,guan4
12,13,jar,ping2,jar,jar,ping2
13,14,jar,ping2,jar,jar,ping2
14,15,jar,ping2,jar,jar,ping2
15,16,container,guan4,can,can,ping2
16,17,jar,ping2,jar,jar,ping2
17,18,jar,ping2,jar,jar,ping2
18,19,jar,ping2,jar,jar,guan4
19,20,tube,guan3,tube,tube,guan3
20,21,bottle,guan4,bottle,bottle,ping2
21,22,container,guan4,bottle,bottle,ping2
22,23,can,guan4,can,can,ping2
23,24,can,guan4,can,can,ping2
24,25,container,ping2,bottle,bottle,ping2
25,26,can,guan4,can,can,guan4
26,27,jar,ping2,jar,jar,ping2
27,28,bottle,ping2,bottle,bottle,ping2
28,29,jar,ping2,jar,jar,guan4
29,30,jar,ping2,jar,jar,ping2
30,31,jar,ping2,jar,jar,ping2
31,32,box,he2,box,box,he2
32,33,bottle,ping2,bottle,bottle,ping2
33,34,jar,ping2,jar,jar,ping2
34,35,container,ping2,bottle,bottle,ping2
35,36,jar,ping2,jar,jar,ping2
36,37,jar,ping2,jar,jar,guan4
37,38,jar,ping2,jar,jar,guan4
38,39,container,ping2,bottle,bottle,ping2
39,40,bottle,ping2,bottle,bottle,ping2
40,41,bottle,ping2,bottle,bottle,ping2
41,42,bottle,ping2,bottle,bottle,ping2
42,43,jug,tong3,jug,jug,tong3
43,44,jar,ping2,jar,jar,ping2
44,45,container,he2,tub,tub,he2
45,46,can,guan4,can,can,guan4
46,47,can,guan4,can,can,ping2
47,48,container,ping2,bottle,bottle,ping2
48,49,bottle,ping2,bottle,bottle,ping2
49,50,bottle,ping2,bottle,bottle,ping2
50,51,bottle,guan4,bottle,bottle,he2
51,52,container,ping2,bottle,bottle,ping2
52,53,container,guan4,container,container,guan4
53,54,jug,tong3,jug,jug,tong3
54,55,bottle,ping2,bottle,bottle,ping2
55,56,bottle,ping2,bottle,bottle,ping2
56,57,bottle,tong3,jug,jug,tong3
57,58,container,tong3,jug,jug,tong3
58,59,container,ping2,jug,jug,ping2
59,60,jug,tong3,jug,jug,tong3
