,obj,en_ngram_freq_1999_undivided,en_ngram_freq_1999_divided,en_ngram_freq_2019_undivided,en_ngram_1999_undivided,en_ngram_1999_divided,en_ngram_2019_undivided,en_survey_nontrans,ch_survey_nontrans,en_survey_raw,ch_survey_raw,en_ch_survey_raw,en_zipf,ch_zipf,en_survey_raw_sort,ch_survey_raw_sort
31,32,1.51e-06,1.51e-06,6.079199999999999e-06,0.0022207730819947652,0.009097196617529757,0.007360886367345907,0.013384994716449454,0.023109073749494405,2.375,3.348,-0.9727,0.005179902722540999,0.12686219983561098,46,1
57,58,2.65e-05,2.94e-06,2.6936199999999998e-05,0.03897383223368297,0.017712422553336084,0.032615197290449864,0.010919337794998239,0.018309289470136172,1.9375,2.652,-0.715,0.004624913145125,0.015857774979451,52,18
45,46,2.7800000000000003e-07,2.7800000000000003e-07,2.56e-07,0.00040885756079108934,0.0016748481189889225,0.0003099728434729163,0.014089468122578372,0.021612511797222598,2.5,3.13,-0.631,0.0056303290462399996,0.04228739994520401,42,5
50,51,6.35e-06,1.27e-06,6.359199999999999e-06,0.009339012629580637,0.007651284572359465,0.007699919164894409,0.010214864388869321,0.016812727517864366,1.8125,2.436,-0.623,0.004316585602117001,0.010571849986301002,57,28
1,2,7.11e-07,7.11e-07,2.965e-07,0.0010456752723829656,0.004283514433816991,0.00035901151597546744,0.007749207467418105,0.013206148038290413,1.375,1.913,-0.538,0.004046799001985,0.0057664636288909995,60,55
38,39,2.65e-05,2.94e-06,2.6936199999999998e-05,0.03897383223368297,0.017712422553336084,0.032615197290449864,0.011976047904191617,0.017405959282728867,2.125,2.521,-0.3965,0.004796206224575,0.011532927257783002,49,27
21,22,2.65e-05,2.94e-06,2.6936199999999998e-05,0.03897383223368297,0.017712422553336084,0.032615197290449864,0.010919337794998239,0.01590939733045706,1.9375,2.305,-0.3672,0.004624913145125,0.008457479989040999,53,32
58,59,2.65e-05,2.94e-06,2.6936199999999998e-05,0.03897383223368297,0.017712422553336084,0.032615197290449864,0.010919337794998239,0.0147094512606175,1.9375,2.13,-0.1934,0.004624913145125,0.006676957886085,51,46
40,41,7.85e-06,3.92e-06,5.8485e-06,0.011545078605072125,0.02361656340444811,0.007081547558794339,0.010214864388869321,0.013502763920722664,1.8125,1.956,-0.1436,0.004316585602117001,0.006041057135029,58,53
51,52,1.32e-08,6.6e-09,0.0,1.9413380584325104e-05,3.976258124218305e-05,0.0,0.010567101091933779,0.013502763920722664,1.875,1.956,-0.08105,0.0044654333815,0.006041057135029,56,52
14,15,9.22e-08,9.22e-08,1.65e-08,0.0001355995219602102,0.0005554712106862541,1.9978718426965302e-05,0.012328284607256075,0.015612781448024807,2.188,2.262,-0.0742,0.004980675694750999,0.007928887489726,47,38
0,1,6.4e-06,6.4e-06,7.0841e-06,0.00941254816209702,0.03855765453787447,0.008577650861119085,0.014089468122578372,0.017702575165161116,2.5,2.564,-0.06445,0.0056303290462399996,0.012686219983561002,41,22
11,12,1.44e-06,1.44e-06,5.894e-07,0.002117823336471829,0.008675472271021755,0.000713664038839597,0.011976047904191617,0.01500606714304975,2.125,2.174,-0.04883,0.004796206224575,0.007047899990866999,50,44
