obj,en_ngram_freq_1999_undivided,en_ngram_freq_1999_divided,en_ngram_freq_2019_undivided,en_ngram_freq_2019_divided
1,1.30E-05,1.30E-05,1.24E-05,1.24E-05
2,1.42E-06,1.42E-06,4.78E-07,4.78E-07
3,1.39E-08,1.39E-08,1.21E-07,1.21E-07
4,1.26E-06,1.26E-06,7.11E-07,7.11E-07
5,3.97E-06,3.97E-06,3.66E-06,3.66E-06
6,0.00005201,0.00000578,0.000050841,0.000005649
7,4.62E-05,5.13E-06,6.56E-05,7.29E-06
8,2.37E-07,2.37E-07,2.47E-07,2.47E-07
9,0.00005201,0.00000578,0.000050841,0.000005649
10,1.12E-06,1.12E-06,0.000001285,0.000001285
11,1.11E-06,1.11E-06,9.06E-07,9.06E-07
12,3.05E-06,3.05E-06,1.33E-06,1.33E-06
13,3.82E-06,1.27E-06,4.30E-06,1.43E-06
14,4.62E-05,5.13E-06,6.56E-05,7.29E-06
15,1.19E-07,1.19E-07,1.65E-08,1.65E-08
16,0.00005201,0.00000578,0.000050841,0.000005649
17,3.82E-06,1.27E-06,4.30E-06,1.43E-06
18,4.62E-05,5.13E-06,6.56E-05,7.29E-06
19,4.62E-05,5.13E-06,6.56E-05,7.29E-06
20,5.53E-07,5.53E-07,4.12E-07,4.12E-07
21,3.65E-05,3.65E-05,4.58E-05,4.58E-05
22,0.00005201,0.00000578,0.000050841,0.000005649
23,0.000012828,0.000004276,1.12E-05,3.74E-06
24,0.000012828,0.000004276,1.12E-05,3.74E-06
25,1.32E-08,6.60E-09,0,0
26,0.000000111,0.000000111,0.000000468,0.000000468
27,3.52E-06,3.52E-06,4.02E-06,4.02E-06
28,8.71E-06,1.74E-06,8.20E-06,1.64E-06
29,3.82E-06,1.27E-06,4.30E-06,1.43E-06
30,4.62E-05,5.13E-06,6.56E-05,7.29E-06
31,4.62E-05,5.13E-06,6.56E-05,7.29E-06
32,3.12E-06,3.12E-06,1.10E-05,1.10E-05
33,8.71E-06,1.74E-06,8.20E-06,1.64E-06
34,4.62E-05,5.13E-06,6.56E-05,7.29E-06
35,0.00005201,0.00000578,0.000050841,0.000005649
36,1.69E-06,1.69E-06,2.18E-06,2.18E-06
37,4.62E-05,5.13E-06,6.56E-05,7.29E-06
38,4.62E-05,5.13E-06,6.56E-05,7.29E-06
39,0.00005201,0.00000578,0.000050841,0.000005649
40,1.31E-05,6.57E-06,1.21E-05,6.07E-06
41,1.31E-05,6.57E-06,1.21E-05,6.07E-06
42,4.28E-05,2.14E-05,5.30E-05,2.65E-05
43,0.000004254,0.000004254,4.22E-06,4.22E-06
44,6.59E-08,6.59E-08,1.32E-07,1.32E-07
45,1.32E-07,1.32E-07,8.24E-08,8.24E-08
46,3.37E-07,3.37E-07,3.66E-07,3.66E-07
47,0.000012828,0.000004276,1.12E-05,3.74E-06
48,0.00005201,0.00000578,0.000050841,0.000005649
49,8.71E-06,1.74E-06,8.20E-06,1.64E-06
50,4.28E-05,2.14E-05,5.30E-05,2.65E-05
51,8.71E-06,1.74E-06,8.20E-06,1.64E-06
52,1.32E-08,6.60E-09,0,0
53,2.37E-07,2.37E-07,1.98E-07,1.98E-07
54,1.62E-06,1.62E-06,1.32E-06,1.32E-06
55,8.71E-06,1.74E-06,8.20E-06,1.64E-06
56,2.24E-05,2.24E-05,2.57E-05,2.57E-05
57,1.33E-06,1.33E-06,7.58E-07,7.58E-07
58,0.00005201,0.00000578,0.000050841,0.000005649
59,0.00005201,0.00000578,0.000050841,0.000005649
60,2.15E-06,2.15E-06,3.26E-06,3.26E-06
