obj,en_ngram_freq_1999_undivided,en_ngram_freq_1999_divided,en_ngram_freq_2019_undivided
1,6.40E-06,6.40E-06,7.0841E-06
2,7.11E-07,7.11E-07,2.965E-07
3,1.39E-08,1.39E-08,6.93E-08
4,5.69E-07,5.69E-07,0.00000026
5,3.65E-06,3.65E-06,3.2068E-06
6,2.65E-05,2.94E-06,2.69362E-05
7,2.86E-05,3.17E-06,4.26366E-05
8,2.11E-07,2.11E-07,2.471E-07
9,2.65E-05,2.94E-06,2.69362E-05
10,4.74E-07,4.74E-07,5.931E-07
11,6.59E-07,6.59E-07,5.766E-07
12,1.44E-06,1.44E-06,5.894E-07
13,2.30E-06,7.68E-07,1.4662E-06
14,2.86E-05,3.17E-06,4.26366E-05
15,9.22E-08,9.22E-08,1.65E-08
16,2.65E-05,2.94E-06,2.69362E-05
17,2.30E-06,7.68E-07,1.4662E-06
18,2.86E-05,3.17E-06,4.26366E-05
19,2.86E-05,3.17E-06,4.26366E-05
20,3.42E-07,3.42E-07,1.483E-07
21,2.11E-05,2.11E-05,1.96708E-05
22,2.65E-05,2.94E-06,2.69362E-05
23,0.000008113,2.70E-06,7.6443E-06
24,0.000008113,2.70E-06,7.6443E-06
25,1.32E-08,6.60E-09,0
26,8.32E-08,8.32E-08,3.813E-07
27,0.00000216,0.00000216,2.0758E-06
28,6.35E-06,1.27E-06,6.3592E-06
29,2.30E-06,7.68E-07,1.4662E-06
30,2.86E-05,3.17E-06,4.26366E-05
31,2.86E-05,3.17E-06,4.26366E-05
32,1.51E-06,1.51E-06,6.0792E-06
33,6.35E-06,1.27E-06,6.3592E-06
34,2.86E-05,3.17E-06,4.26366E-05
35,2.65E-05,2.94E-06,2.69362E-05
36,1.32E-06,1.32E-06,1.7681E-06
37,2.86E-05,3.17E-06,4.26366E-05
38,2.86E-05,3.17E-06,4.26366E-05
39,2.65E-05,2.94E-06,2.69362E-05
40,7.85E-06,3.92E-06,5.8485E-06
41,7.85E-06,3.92E-06,5.8485E-06
42,1.89E-05,9.43E-06,2.81059E-05
43,2.23E-06,2.23E-06,2.4053E-06
44,5.27E-08,5.27E-08,1.153E-07
45,1.19E-07,1.19E-07,6.59E-08
46,2.78E-07,2.78E-07,0.000000256
47,0.000008113,2.70E-06,7.6443E-06
48,2.65E-05,2.94E-06,2.69362E-05
49,6.35E-06,1.27E-06,6.3592E-06
50,1.89E-05,9.43E-06,2.81059E-05
51,6.35E-06,1.27E-06,6.3592E-06
52,1.32E-08,6.60E-09,0
53,1.71E-07,1.71E-07,1.812E-07
54,0.000000957,0.000000957,7.627E-07
55,6.35E-06,1.27E-06,6.3592E-06
56,2.04E-05,2.04E-05,0.000022834
57,6.85E-07,6.85E-07,2.306E-07
58,2.65E-05,2.94E-06,2.69362E-05
59,2.65E-05,2.94E-06,2.69362E-05
60,1.90E-06,1.90E-06,2.7734E-06
