,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
obj,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,罐,瓶,瓶,瓶,瓶,罐,瓶子,瓶,瓶,瓶,瓶,罐,瓶,罐子,罐,瓶,玻璃罐,瓶,罐,管,瓶子,桶,瓶,喷雾瓶,瓶,瓶,瓶,瓶,罐,罐子,瓶子,盒,瓶,罐子,罐,罐,罐子,罐子,盒,瓶,瓶,瓶,瓶,瓶,盒子,罐,喷雾罐,瓶,瓶,瓶子,盒子,瓶,罐子,桶,瓶,喷瓶,桶,桶,瓶,桶
1,小罐子,小瓶子,小瓶子,小瓶子,小瓶子,小罐子,瓶子,小瓶子,胡椒瓶,小瓶子,瓶子,小瓶子,小瓶子,玻璃瓶,小瓶子,小瓶子,小罐子,瓶子,小罐子,瓶子,罐子,瓶子,瓶子,喷雾,瓶子,小瓶子,玻璃瓶,瓶子,塑料瓶,玻璃瓶,瓶子,牛奶罐,瓶子,罐子,小瓶子,小瓶子,大玻璃瓶,罐子,小罐子,奶瓶,量杯,瓶子,大罐子,瓶子,罐子,罐子,喷雾瓶,小罐子,奶油瓶,玻璃瓶,大罐子,小瓶子,罐子,大罐子,塑料瓶,喷雾,罐子,大罐子,大罐子,大罐子
2,盒,杯,滴瓶,小瓶,瓶,盒,瓶,瓶子,小瓶,玻璃瓶,瓶,小罐,玻璃瓶,瓶,罐,瓶,瓶,小瓶,瓶,支,瓶,小瓶,瓶,喷雾器,瓶,罐,罐,瓶,小罐子,瓶,瓶,盒,瓶子,玻璃瓶,瓶,瓶,瓶,瓶,瓶,小瓶,杯,瓶,桶,瓶,饭盒,罐,罐,瓶,塑料瓶,瓶,盒子,小瓶,瓶,桶,瓶,喷雾瓶,桶,桶,桶,桶
3,小罐,塞子,有胶头滴管的瓶子,罐,塑料瓶,玻璃罐,玻璃罐,玻璃瓶,小玻璃瓶,小玻璃瓶,玻璃罐,小玻璃罐,小玻璃罐,小玻璃瓶,小玻璃罐,塑料瓶,小罐子,玻璃罐,玻璃罐,乳液管,塑料瓶,小罐罐,和唇膏似的小瓶子,喷药的那种瓶子,乳液瓶,小铁罐,玻璃罐,塑料罐,小玻璃罐,玻璃罐,扁扁的小瓶子,小盒子,小玻璃瓶,玻璃罐,塑料罐,玻璃罐,小玻璃罐,玻璃罐,那种奶瓶的瓶子,奇怪的小瓶子,小瓶子,玻璃罐,桶,玻璃瓶,盒,小铁瓶,摩丝瓶,小瓶,罐,酒瓶的那种瓶子,扁扁的小瓶子,小瓶子,小瓶子,桶,塑料瓶,小喷瓶,塑料瓶,桶,小瓶子,桶
4,小盒子,庇阴罐,滴管瓶,小瓶子,小药罐,小瓶子,瓶,小药剂瓶,调味瓶,调味瓶,罐,罐头,罐子,罐头,罐子,小瓶子,小罐子,瓶,罐,膏状体,卡通人物瓶,旋转瓶,胶水瓶,喷剂,按压瓶,罐,罐头,尖嘴壶,罐头,瓶,罐子,利乐包装瓶,瓶,罐头,罐头,瓶子,罐头,罐头,罐头瓶,奶瓶,量壶,小酒瓶,壶,中罐头,盒,罐头,喷瓶,瓶,滴瓶,玻璃瓶,瓶,小瓶子,罐头,大壶,窄身壶,喷瓶,手提壶,壶,塑料壶,壶
5,小盒,小盒,滴管瓶,小药瓶,小药瓶,罐,罐头瓶,瓶,小调料罐,小调料瓶,罐头瓶,果酱罐,罐头罐,罐头瓶,罐头瓶,小瓶,罐,罐头瓶,罐头瓶,装化妆品的软管,乳液瓶,管,管,喷瓶和尺子,按压瓶,小罐,罐头瓶,装酱的瓶子,罐头瓶,罐头瓶,罐头瓶,纸盒,瓶子,果酱罐,小塑料瓶,小罐子和尺子,罐头瓶,罐头瓶,爽身粉瓶,奶瓶,奶瓶,小酒瓶,小桶,罐,酱盒,罐,喷瓶和尺子,瓶子和尺子,瓶,玻璃瓶,瓶,小小的塑料瓶,罐,油桶,洗洁精瓶,喷瓶,桶,酱油壶,塑料罐,小桶
6,小罐子,小药瓶,滴瓶,小瓶子,小瓶子,小瓶子,小罐子,小瓶子,小瓶子,小瓶子,瓶,小罐子,小罐子,药瓶,小罐子,小瓶子,小罐子,瓶,小罐子,塑料管,玩具瓶,喷瓶,喷瓶,喷瓶,挤压瓶,铝罐,罐头瓶,塑料瓶,小瓶子,玻璃瓶,瓶,纸盒,瓶,玻璃罐,小瓶子,瓶子,玻璃罐,玻璃瓶,纸盒,奶瓶,瓶,玻璃瓶,大提壶,塑料瓶,分装盒,易拉罐,喷瓶,瓶,瓶,玻璃瓶,盒,小瓶子,盒子,提壶,喷壶,喷壶,提壶,提壶,壶,大提壶
7,小药膏盒,小瓶子,滴瓶,小药瓶,小药瓶,小药膏盒,果酱瓶,小药瓶,装调料的罐子,玻璃瓶,密封罐,果酱瓶,小玻璃瓶,果酱瓶,小瓶子,小药瓶,果酱瓶,小奇怪形状的瓶子,果酱瓶,护手霜瓶子,好看的笑脸瓶子,喷雾瓶,圆柱形的瓶子,喷雾剂,装洗手液的按压瓶,小铝罐,果酱瓶,锥形的瓶子,密封罐,果酱瓶,果酱瓶,牛奶瓶,果酱瓶,果酱瓶,塑料瓶,果酱瓶,玻璃瓶,小玻璃罐子,盒子,奶瓶,挤番茄酱的瓶子,小酒瓶,大水桶,塑料瓶,小盒子,易拉罐,喷雾瓶,洗头膏瓶子,吸管瓶,饮料玻璃瓶,小盒子,小药瓶,罐头,大塑料瓶,塑料瓶,喷雾瓶,洗衣液瓶子,装醋的大瓶子,塑料罐,大水瓶
8,小塑料罐,黑色桶状物,带吸管的棕色玻璃瓶,塑料小瓶,小药罐,塑料罐,玻璃罐,药瓶,料理瓶,锥形玻璃罐,装罐头的,锥形罐,锥形玻璃罐,玻璃罐,玻璃罐,塑料罐,罐子,罐,罐头罐,管,宝宝沐浴露,长直塑料瓶,长塑料管,压力罐,有喷嘴的壶,铁皮罐,玻璃罐,胶水,玻璃罐,玻璃罐,大肚玻璃罐,纸盒,瓶,塑料瓶,料理罐,塑料罐,糖罐,玻璃罐,塑料瓶,吸嘴壶,吸管杯,带把玻璃瓶,油桶,玻璃罐,方塑料盒,易拉罐,高压罐,塑料瓶,吸管杯,玻璃瓶,小方盒,小塑料瓶,小桶,油桶,s形瓶,喷壶,油桶,油桶,直形小油桶,桶
9,小盒,盒子,小瓶,小瓶子,塑料瓶,小瓶子,小瓶子,小瓶子,瓶子,瓶子,玻璃瓶,瓶,小瓶子,罐子,玻璃瓶,瓶子,瓶子,瓶子,瓶,支,瓶子,瓶,瓶子,喷瓶,瓶子,小罐子,瓶,瓶子,瓶,小圆瓶,罐子,盒子,瓶子,瓶子,小圆筒,玻璃瓶,罐子,罐子,方瓶,奶瓶,瓶子,小瓶子,桶,瓶,塑料盒,铝罐,罐子,塑料瓶,壶,玻璃瓶,瓶,小瓶子,罐子,桶,塑料瓶,喷瓶,桶,塑料桶,大瓶, 桶
10,很小的瓶子,很小的瓶子,滴灌瓶,玻璃瓶,药瓶,药瓶,玻璃瓶,塑料瓶,药瓶,玻璃瓶,塑料瓶,果汁瓶,玻璃瓶,塑料瓶,罐头罐头瓶,小杯子,药瓶,塑料瓶,玻璃瓶,按压瓶,塑料瓶,小塑料瓶,小瓶子,喷瓶,按压瓶,易拉罐,罐头瓶,塑料瓶,罐头瓶,玻璃罐,玻璃瓶,吸管瓶,塑料瓶,塑料瓶,塑料瓶,塑料瓶,玻璃瓶,玻璃瓶,玻璃瓶,奶嘴瓶,针筒,玻璃瓶,塑料瓶,玻璃瓶,塑料盒,易拉罐,颜料瓶,洗发露瓶,吸管瓶,玻璃瓶,塑料盒,小瓶子,易拉罐,洗洁精瓶,塑料瓶,压嘴瓶,洗衣液的瓶子,塑料瓶,塑料瓶,大瓶子
11,小液盒,小筒,迷你滴管瓶,小滴管瓶,小药瓶,迷你瓶,食物瓶,迷你宅口瓶,调味瓶,药瓶,中玻璃罐,迷你瓶,中式窄口瓶,中式药瓶,小宅口食物瓶,胶棒瓶,麻酱瓶,酱油瓶,食物罐,修复霜,喷雾瓶,窄瓶,小筒,中号喷式瓶,液体挤式瓶,小罐,果酱瓶,中式滴管瓶,小瓶,中式容器瓶,中式宽口瓶,方形盒,标准瓶,小咖啡瓶,中号药瓶,中号瓶,食物瓶,食物瓶,小日用品瓶,奶瓶,小胶水瓶,窄口玻璃瓶,大奶箱,食品瓶,小盒子,迷你罐,小罐,日用品瓶,大容器瓶,标准酒瓶,牛奶盒,小药瓶,薯片罐,洗衣液瓶,大宽口瓶,喷雾瓶,洗衣液瓶,油壶,大瓶,大油壶
12,小圆瓶,白盖黑瓶,滴管瓶,密封瓶,药瓶,小药瓶,小玻璃瓶,黑色塑料瓶,细颈瓶,玻璃瓶,白盖玻璃瓶,铁盖玻璃瓶,梨形玻璃瓶,玻璃果酱瓶,小圆玻璃瓶,有盖瓶,塑料咖啡瓶,小蛮腰玻璃瓶,白盖玻璃瓶,护手霜瓶,玩偶形瓶,圆桶型小塑料瓶,有盖瓶,喷雾瓶,按压泵瓶,铁罐瓶,果酱玻璃瓶,三角瓶,扁圆瓶,玻璃糖果瓶,酱料瓶,酸奶盒,扁饮料瓶,塑料瓶,广口盖塑料瓶,塑料糖果瓶,广口玻璃瓶,玻璃调料瓶,小白瓶,回型瓶,滴口瓶,小玻璃瓶,塑料桶,葫芦型塑料瓶,嵌入式塑料瓶,易拉罐,喷头铁罐,白色塑料瓶,胶水瓶,玻璃饮料瓶,方形盒,白色塑料瓶,圆桶瓶,可拎塑料桶,洗涤剂瓶,带喷头塑料瓶,可拎塑料瓶,酱油桶,塑料桶,白色塑料桶
13,面霜瓶,黑色小罐子,滴管玻璃瓶,圆形小玻璃瓶,迷你小塑料罐,红盖塑料瓶,小玻璃瓶,方形小塑料瓶,玻璃胡椒罐,玻璃胡椒瓶,白马口铁玻璃瓶,迷你马口铁玻璃罐,酱汁罐头,罐头,马口铁盖矮罐,蓝色小罐子,塑料罐,圣诞树形玻璃罐,柱形玻璃罐,软管瓶,塑料宝宝霜罐子,圆柱形罐子,小圆柱罐,圆柱压力罐,塑料挤压罐,铁罐,蓝盖玻璃瓶,尖头塑料瓶,花生酱罐子,收口玻璃罐,俄罗斯酸黄瓜式玻璃瓶,利乐盒子,塑料罐,金盖玻璃瓶,红黄配色塑料瓶,坚果罐子,大马口铁玻璃罐,绿盖子玻璃瓶,保健品罐子,异形奶瓶,带刻度塑料杯,玻璃水壶,大塑料壶,有腰线的塑料罐,塑料乐扣盒,易拉罐,真空压力瓶,沐浴露,带吸管塑料瓶,窄口玻璃瓶,方形塑料瓶,白盖塑料瓶,纸筒,大塑料壶,长得像个人的白塑料瓶,鸭嘴按压瓶,蓝色白盖塑料瓶,大塑料壶,塑料大罐,白色塑料壶
14,小圆罐,管,滴管瓶,玻璃药瓶,小瓶子,小瓶子,小罐子,小瓶子,小罐子,小罐子,小罐子,小罐子,小罐子,小罐子,小罐子,小瓶子,罐子,小罐子,小罐子,管,瓶子,小瓶子,小瓶子,喷瓶,按压嘴的瓶子,铝罐,小罐子,滴瓶,小罐子,罐子,小罐子,纸盒子,瓶,罐子,瓶子,罐子,罐子,罐子,瓶子,奶瓶,奶瓶,瓶子,小桶,小玻璃罐,小盒子,铝罐,喷瓶,拼字,滴瓶,玻璃瓶,小方盒,小瓶子,小罐子,桶,瓶子,喷瓶,桶,小桶,桶,桶
