,obj,0,1,2,4,6,7,8,11,12,13,14,17,19,20,21,24,mean,need_prob,rank,transformed_zipf
0,1,2.0,5.0,1.0,2.0,2.0,4.0,3.0,5.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,1.0,2.5,0.014089468122578372,23.0,0.005630329046239711
1,2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.375,0.007749207467418105,32.0,0.004046799001984792
2,3,3.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,7.0,7.0,2.0,1.0,1.0,1.0,1.0,2.938,0.01655512504402959,18.0,0.007194309336861852
3,4,3.0,4.0,4.0,2.0,2.0,3.0,5.0,6.0,1.0,2.0,7.0,4.0,1.0,1.0,1.0,5.0,3.188,0.017964071856287425,14.0,0.009249826290250953
4,5,3.0,5.0,5.0,5.0,2.0,3.0,5.0,6.0,1.0,2.0,7.0,4.0,1.0,1.0,3.0,6.0,3.688,0.020781965480803098,6.0,0.021582928010585558
5,6,2.0,4.0,7.0,2.0,3.0,5.0,6.0,5.0,1.0,7.0,1.0,3.0,2.0,1.0,1.0,3.0,3.312,0.018668545262416344,12.0,0.010791464005292779
6,7,2.0,3.0,2.0,4.0,3.0,1.0,7.0,4.0,1.0,5.0,7.0,4.0,1.0,1.0,2.0,5.0,3.25,0.018316308559351884,13.0,0.009961351389501027
7,8,2.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,2.0,2.0,7.0,3.0,2.0,1.0,1.0,2.0,2.812,0.01585065163790067,20.0,0.006474878403175668
8,9,1.0,6.0,6.0,2.0,2.0,5.0,7.0,5.0,2.0,7.0,7.0,2.0,5.0,1.0,1.0,3.0,3.875,0.021838675589996477,3.0,0.043165856021171116
9,10,2.0,6.0,6.0,2.0,2.0,1.0,7.0,6.0,1.0,2.0,7.0,3.0,5.0,1.0,1.0,1.0,3.312,0.018668545262416344,12.0,0.010791464005292779
10,11,2.0,3.0,2.0,3.0,2.0,1.0,6.0,6.0,1.0,6.0,6.0,5.0,2.0,1.0,1.0,2.0,3.062,0.017259598450158505,16.0,0.008093598003969584
11,12,2.0,3.0,1.0,3.0,3.0,1.0,5.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.125,0.011976047904191617,27.0,0.004796206224574568
12,13,2.0,4.0,2.0,2.0,3.0,1.0,7.0,6.0,1.0,5.0,7.0,5.0,3.0,1.0,1.0,1.0,3.188,0.017964071856287425,14.0,0.009249826290250953
13,14,3.0,4.0,3.0,2.0,3.0,1.0,6.0,6.0,1.0,5.0,7.0,4.0,2.0,1.0,1.0,2.0,3.188,0.017964071856287425,14.0,0.009249826290250953
14,15,2.0,1.0,1.0,2.0,3.0,1.0,4.0,6.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.188,0.012328284607256075,26.0,0.004980675694750514
15,16,2.0,3.0,1.0,2.0,1.0,3.0,5.0,7.0,1.0,1.0,1.0,4.0,2.0,1.0,7.0,7.0,3.0,0.016907361747094046,17.0,0.007617504003736079
16,17,2.0,3.0,5.0,3.0,2.0,1.0,4.0,4.0,2.0,5.0,7.0,2.0,1.0,1.0,1.0,4.0,2.938,0.01655512504402959,18.0,0.007194309336861852
